_link,_link_releases,_link_main,id,title,description,status,value_amount,value_currency,submissionTerms_electronicSubmissionPolicy
0.releases.569.tender.lots.3,0.releases.569,0,2,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY KINYARWANDA MAGAZINE,active,3150000,RWF,allowed
0.releases.569.tender.lots.4,0.releases.569,0,3,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR RENTING BILLBOARDS,active,1500000,RWF,allowed
0.releases.570.tender.lots.0,0.releases.570,0,2,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY KINYARWANDA MAGAZINE,active,3150000,RWF,allowed
0.releases.570.tender.lots.1,0.releases.570,0,3,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR RENTING BILLBOARDS,active,1500000,RWF,allowed
0.releases.570.tender.lots.2,0.releases.570,0,1,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ENGLISH MAGAZINE,active,3150000,RWF,allowed
0.releases.570.tender.lots.3,0.releases.570,0,2,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY KINYARWANDA MAGAZINE,active,3150000,RWF,allowed
0.releases.570.tender.lots.4,0.releases.570,0,3,SERVICE FOR ADVERTISEMENT IN A LOCAL DAILY ELECTRONIC MAGAZINE ON FRAMEWORK AGREEMENT,SERVICE FOR RENTING BILLBOARDS,active,1500000,RWF,allowed
0.releases.571.tender.lots.0,0.releases.571,0,2,"Supply, installation and training on RSB Laboratory Management System for metrology laboratories and upgrading existing system for testing laboratories","Lot2.Supply, installation and training on RSB Laboratory Management System for metrology laboratories ",active,437223400,RWF,allowed
0.releases.571.tender.lots.1,0.releases.571,0,3,"Supply, installation and training on RSB Laboratory Management System for metrology laboratories and upgrading existing system for testing laboratories","Lot1. Supply, installation and training and upgrading existing system for testing laboratories",active,432776600,RWF,allowed
0.releases.573.tender.lots.0,0.releases.573,0,1,"Operationalization of Home Based ECD(HBECD)/porridge for 251HBECD (Gasab0:187, Kicukiro:19; Nyarugenge:45)",,active,108432000,RWF,allowed
0.releases.574.tender.lots.0,0.releases.574,0,1,Codification of SGF Assets,Codification of SGF Assets,active,2000000,RWF,allowed
0.releases.577.tender.lots.0,0.releases.577,0,1,Provision of refreshment to staff of judiciary, In different Court ,active,45000000,RWF,allowed
0.releases.577.tender.lots.1,0.releases.577,0,2,Provision of refreshment to staff of judiciary, In different Court ,active,35000000,RWF,allowed
0.releases.578.tender.lots.0,0.releases.578,0,1,Insurance Services for Supreme Court Vehicles,Insurance services,active,15000000,RWF,allowed
0.releases.579.tender.lots.0,0.releases.579,0,1,supply of uniforms for staff,,active,4000000,RWF,allowed
0.releases.580.tender.lots.0,0.releases.580,0,1,Renting of vehicles  for IRS  activities and for others activities,Renting of vehicles  for IRS  activities and for others activities,active,95610480,RWF,allowed
0.releases.580.tender.lots.1,0.releases.580,0,1,Renting of vehicles  for IRS  activities and for others activities,Renting of vehicles  for IRS  activities and for others activities,active,95610480,RWF,allowed
0.releases.582.tender.lots.0,0.releases.582,0,1,"Feasibility and technical study for Rehabilitation and upgrading of 5Health centers Mucubira,nyamiyaga,Gatagara,Mweya and Hanika at different Sector in Nyanza District","Feasibility and technical study for Rehabilitation and upgrading of 5Health centers Mucubira,nyamiyaga,Gatagara,Mweya and Hanika at different Sector in Nyanza District",active,45000000,RWF,allowed
0.releases.583.tender.lots.0,0.releases.583,0,1,Consultancy Services for Supervision of Execution Works of Periodic Maintenance of Huye- Kibeho-Ndago-Munini & Ndago-Ngoma (68.219Km) Paved Road,Consultancy Services for Supervision of Execution Works of Periodic Maintenance of Huye- Kibeho-Ndago-Munini & Ndago-Ngoma (68.219Km) Paved Road,active,154849694,RWF,allowed
0.releases.583.tender.lots.1,0.releases.583,0,1,LotNo1,,active,,,allowed
0.releases.584.tender.lots.0,0.releases.584,0,1,LotNo1,,active,,,allowed
0.releases.585.tender.lots.0,0.releases.585,0,1,Supply of furniture  at Ntare Louisenlund School,,active,16270000,RWF,allowed
0.releases.586.tender.lots.0,0.releases.586,0,1,Supply of furniture  at Ntare Louisenlund School,,active,16270000,RWF,allowed
0.releases.587.tender.lots.0,0.releases.587,0,1,Supply of furniture  at Ntare Louisenlund School,,active,16270000,RWF,allowed
0.releases.589.tender.lots.0,0.releases.589,0,1,Supply of furniture  at Ntare Louisenlund School,,active,16270000,RWF,allowed
0.releases.590.tender.lots.0,0.releases.590,0,1,Tender for Supply of Mobile devices on behalf of all Government Institutions,,active,200000000,RWF,allowed
0.releases.593.tender.lots.0,0.releases.593,0,1,Insemination and vaccination and other related services,Insemination and vaccination and other related services,active,101171168,RWF,allowed
0.releases.595.tender.lots.0,0.releases.595,0,1,LotNo1,,active,,,allowed
0.releases.596.tender.lots.0,0.releases.596,0,1,LotNo1,,active,,,allowed
0.releases.598.tender.lots.0,0.releases.598,0,1,LOT 1:  SUPPLY OF NEW ACCOMODATION EQUIPMENT FOR CTTC MAYANGE ,,active,42533500,RWF,allowed
0.releases.598.tender.lots.1,0.releases.598,0,2,Lot 2: SUPPLY OF NEW ACCOMMODATION EQUIPMENT FOR NPC,,active,85044000,RWF,allowed
0.releases.598.tender.lots.2,0.releases.598,0,1,LOT 1:  SUPPLY OF NEW ACCOMODATION EQUIPMENT FOR CTTC MAYANGE ,,active,42533500,RWF,allowed
0.releases.598.tender.lots.3,0.releases.598,0,2,Lot 2: SUPPLY OF NEW ACCOMMODATION EQUIPMENT FOR NPC,,active,85044000,RWF,allowed
0.releases.599.tender.lots.0,0.releases.599,0,1,Acquisition of CUG (AIRTEL RWANDA) for Rwanda Correctional Service staff,Acquisition of CUG (AIRTEL RWANDA) for Rwanda Correctional Service staff,active,19500000,RWF,allowed
0.releases.600.tender.lots.0,0.releases.600,0,1,Provision of necessary needs to Transit center,,active,93951823,RWF,allowed
0.releases.600.tender.lots.1,0.releases.600,0,1,Provision of necessary needs to Transit center,,active,93951823,RWF,allowed
0.releases.602.tender.lots.0,0.releases.602,0,1,Supply of office stationeries,,active,18000000,RWF,allowed
0.releases.603.tender.lots.0,0.releases.603,0,1,"Supply of sugar, coffee and tea made in Rwanda",,active,1985000,RWF,allowed
0.releases.604.tender.lots.0,0.releases.604,0,1,Acquisition of Tyres for OBVANS,,active,20000000,RWF,allowed
0.releases.605.tender.lots.0,0.releases.605,0,1,Vehicle and Motos insurance,"9,500,000",active,9500000,RWF,allowed
0.releases.608.tender.lots.0,0.releases.608,0,1,Acquisition of Tyres for OBVANS,,active,20000000,RWF,allowed
0.releases.609.tender.lots.0,0.releases.609,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.609.tender.lots.1,0.releases.609,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.610.tender.lots.0,0.releases.610,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.610.tender.lots.1,0.releases.610,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.611.tender.lots.0,0.releases.611,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.611.tender.lots.1,0.releases.611,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.612.tender.lots.0,0.releases.612,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.612.tender.lots.1,0.releases.612,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.613.tender.lots.0,0.releases.613,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.613.tender.lots.1,0.releases.613,0,1,supply of office stationaries,,active,10000000,RWF,allowed
0.releases.614.tender.lots.0,0.releases.614,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.615.tender.lots.0,0.releases.615,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.616.tender.lots.0,0.releases.616,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.617.tender.lots.0,0.releases.617,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.618.tender.lots.0,0.releases.618,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.619.tender.lots.0,0.releases.619,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.620.tender.lots.0,0.releases.620,0,1,Provision of Sports and recreation facilities to NRS Staffs,Provision of Sports and recreation facilities to NRS Staffs,active,54447,RWF,allowed
0.releases.622.tender.lots.0,0.releases.622,0,1,Supply of asset transfer (ToolKits) under Framework contract.,,active,60000000,RWF,allowed
0.releases.623.tender.lots.0,0.releases.623,0,1,Provision of Sport services,Sport facilities ,active,2000000,RWF,allowed
0.releases.625.tender.lots.0,0.releases.625,0,1,Supply of  office Beverage,,active,13000000,RWF,allowed
0.releases.626.tender.lots.0,0.releases.626,0,1,Provision of Sport services,Sport facilities ,active,2000000,RWF,allowed
0.releases.627.tender.lots.0,0.releases.627,0,1,Tender for renovation works of Gashonga Preliminary rehabilitation Center in Rusizi District,Buildings,active,39303810,RWF,allowed
0.releases.628.tender.lots.0,0.releases.628,0,1,PROVISION OF INTERNET SERVICES AND MSS PACKAGE CHARHAGES,INTERNET SERVICES,active,8500000,RWF,allowed
0.releases.629.tender.lots.0,0.releases.629,0,1,Hiring a local transportation Company for RMI Staff for period of one year,Hiring a local transportation Company for RMI Staff for period of one year,active,6983168,RWF,allowed
0.releases.630.tender.lots.0,0.releases.630,0,1,Renovation of Muhima HC Maternity,Renovation of Muhima HC Maternity,active,11833756,RWF,allowed
0.releases.631.tender.lots.0,0.releases.631,0,2,Lot 2: SUPPLY OF DIFFERENT EQUIPMENT FOR MINUSCA/UNMISS FPUs,,active,40750000,RWF,allowed
0.releases.631.tender.lots.1,0.releases.631,0,5,SUPPLY OF ELECTRICAL AND CONSTRUCTION MATERIALS,,active,68127000,RWF,allowed
0.releases.631.tender.lots.2,0.releases.631,0,3,SUPPLY OF REEFER CONTAINER,,active,130000000,RWF,allowed
0.releases.631.tender.lots.3,0.releases.631,0,1,SUPPLY OF GENERATORS (STATIONARY AND MOBILE),,active,309300000,RWF,allowed
0.releases.631.tender.lots.4,0.releases.631,0,5,SUPPLY OF ELECTRICAL AND CONSTRUCTION MATERIALS,,active,68127000,RWF,allowed
0.releases.631.tender.lots.5,0.releases.631,0,4,SUPPLY OF GYM EQUIPMENT,,active,93960000,RWF,allowed
0.releases.631.tender.lots.6,0.releases.631,0,2,Lot 2: SUPPLY OF DIFFERENT EQUIPMENT FOR MINUSCA/UNMISS FPUs,,active,40750000,RWF,allowed
0.releases.632.tender.lots.0,0.releases.632,0,1,Consultant for Construction Supervision of Nyabisindu rehousing project works (Construction Supervision of 2 housing blocks for Nyabisindu Compensation in Kind for road 13),Consultant for Construction Supervision of Nyabisindu rehousing project works (Construction Supervision of 2 housing blocks for Nyabisindu Compensation in Kind for road 13),active,285000000,RWF,allowed
0.releases.633.tender.lots.0,0.releases.633,0,1,Supply of asset transfer (ToolKits) under Framework contract.,,active,60000000,RWF,allowed
0.releases.634.tender.lots.0,0.releases.634,0,1,Lot 1: Construction works of Model ECDs Centers of EP Ngoma Cath in Huye District,Works,active,207842417,RWF,allowed
0.releases.634.tender.lots.1,0.releases.634,0,2,Lot 2: Construction of EDC Center of GC Nyarubande in Rubavu District,Works,active,226676289,RWF,allowed
0.releases.634.tender.lots.2,0.releases.634,0,3,Lot 3: Construction of EDC Center of Gihundwe in District,Works,active,218293294,RWF,allowed
0.releases.635.tender.lots.0,0.releases.635,0,1,Acquisition of Survey to Go questionnaires ,Acquisition of Survey to Go questionnaires ,active,5000000,RWF,allowed
0.releases.636.tender.lots.0,0.releases.636,0,1,Supply of Stationaries and Printing Consumables,,active,9000000,RWF,allowed
0.releases.637.tender.lots.0,0.releases.637,0,1,SUPPLY AND INSTALLATION  OF DRAINAGE CHANNEL COVERS  ON PLAYGROUND FACILITIES FOR 4 TVET SCHOOLS ON BORDERS IN NYAGATARE AND GICUMBI DISTRICT,SUPPLY AND INSTALLATION  OF DRAINAGE CHANNEL COVERS  ON PLAYGROUND FACILITIES FOR 4 TVET SCHOOLS ON BORDERS IN NYAGATARE AND GICUMBI DISTRICT,active,14575600,RWF,allowed
0.releases.639.tender.lots.0,0.releases.639,0,1,Hiring a consultant firm to perform the actuarial valuation of Medical Insurance schemes (CBHI and RAMA). ,Hiring a consultant firm to perform the actuarial valuation of Medical Insurance schemes (CBHI and RAMA). ,active,150000000,RWF,allowed
0.releases.640.tender.lots.0,0.releases.640,0,1,supply and installation of security system and items,supply and installation of security system and items,active,400000000,RWF,allowed
0.releases.641.tender.lots.0,0.releases.641,0,3,Supply of lime grade 1,,active,400000000,RWF,allowed
0.releases.641.tender.lots.1,0.releases.641,0,1,Supply of lime grade 1,,active,226666667,RWF,allowed
0.releases.641.tender.lots.2,0.releases.641,0,2,Supply of lime grade 1,,active,400000000,RWF,allowed
0.releases.641.tender.lots.3,0.releases.641,0,3,Supply of lime grade 1,,active,400000000,RWF,allowed
0.releases.641.tender.lots.4,0.releases.641,0,4,Supply of lime grade 1,,active,226666667,RWF,allowed
0.releases.641.tender.lots.5,0.releases.641,0,5,Supply of lime grade 1,,active,226666667,RWF,allowed
0.releases.642.tender.lots.0,0.releases.642,0,1,Tender for design and beautification of MINAFFET conference rooms.,Tender for design and beautification of MINAFFET conference rooms.,active,150000000,RWF,allowed
0.releases.643.tender.lots.0,0.releases.643,0,1,PLUMBING DEVICES  ,,active,12000000,RWF,allowed
0.releases.643.tender.lots.1,0.releases.643,0,2,Supply and Install Backup Water Pump and Related Accessories,,active,21060000,RWF,allowed
0.releases.643.tender.lots.2,0.releases.643,0,1,PLUMBING DEVICES  ,,active,12000000,RWF,allowed
