_link,_link_releases,_link_main,id,relationship,title,scheme,identifier
0.releases.2911.relatedProcesses.0,0.releases.2911,0,P000042/2025/2026/1808000000,planning,Operationalization of sanitation facilities-Daily  management of   Nduba Landfill,ocid,ocds-ozzobm-P000042/2025/2026/1808000000
0.releases.2912.relatedProcesses.0,0.releases.2912,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2913.relatedProcesses.0,0.releases.2913,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2914.relatedProcesses.0,0.releases.2914,0,P000028/2025/2026/6300000000,planning,Service of property valuation in Musanze District,ocid,ocds-ozzobm-P000028/2025/2026/6300000000
0.releases.2915.relatedProcesses.0,0.releases.2915,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2916.relatedProcesses.0,0.releases.2916,0,P000022/2025/2026/2313000000,planning,"Provision of hotel services (hiring of conference halls, workshops, trainings, accommodations, restaurants and receptions outside of Kigali (framework contract)",ocid,ocds-ozzobm-P000022/2025/2026/2313000000
0.releases.2917.relatedProcesses.0,0.releases.2917,0,P000018/2025/2026/5700003002,planning,Codification and assets valuation,ocid,ocds-ozzobm-P000018/2025/2026/5700003002
0.releases.2918.relatedProcesses.0,0.releases.2918,0,P000101/2024/2025/1417000000,planning,Supply and installation of office equipment and furniture for UR Campuses,ocid,ocds-ozzobm-P000101/2024/2025/1417000000
0.releases.2919.relatedProcesses.0,0.releases.2919,0,P000002/2025/2026/2315000000,planning,Generators operating lease,ocid,ocds-ozzobm-P000002/2025/2026/2315000000
0.releases.2920.relatedProcesses.0,0.releases.2920,0,P000003/2025/2026/0109000000,planning,Provision of transport services with in Kigali,ocid,ocds-ozzobm-P000003/2025/2026/0109000000
0.releases.2921.relatedProcesses.0,0.releases.2921,0,P000004/2025/2026/1903001001,planning,Tender for furniture equipment for RCA.,ocid,ocds-ozzobm-P000004/2025/2026/1903001001
0.releases.2922.relatedProcesses.0,0.releases.2922,0,P000038/2025/2026/4500000000,planning,Supply of materials for Immergence transit centers,ocid,ocds-ozzobm-P000038/2025/2026/4500000000
0.releases.2923.relatedProcesses.0,0.releases.2923,0,P000030/2025/2026/1412008000,planning,Supply of small tools and consumables in Electrical Department,ocid,ocds-ozzobm-P000030/2025/2026/1412008000
0.releases.2924.relatedProcesses.0,0.releases.2924,0,P000095/2025/2026/0702000000,planning,Acquisition of foodstuff for trainees and trainers at RCS training school,ocid,ocds-ozzobm-P000095/2025/2026/0702000000
0.releases.2925.relatedProcesses.0,0.releases.2925,0,P000040/2025/2026/1700000000,planning,Supply of Office Stationery  to NPPA,ocid,ocds-ozzobm-P000040/2025/2026/1700000000
0.releases.2926.relatedProcesses.0,0.releases.2926,0,P000001/2025/2026/0901000000,planning,Provision of cleaning services,ocid,ocds-ozzobm-P000001/2025/2026/0901000000
0.releases.2927.relatedProcesses.0,0.releases.2927,0,P000043/2025/2026/1420000000,planning,SUPPLY AND INSTALLATION  OF DRAINAGE CHANNEL COVERS  ON PLAYGROUND FACILITIES FOR 4 TVET SCHOOLS ON BORDERS IN NYAGATARE AND GICUMBI DISTRICT,ocid,ocds-ozzobm-P000043/2025/2026/1420000000
0.releases.2928.relatedProcesses.0,0.releases.2928,0,P000109/2025/2026/2315000000,planning,"Studio interior design, upgrade and decoration",ocid,ocds-ozzobm-P000109/2025/2026/2315000000
0.releases.2929.relatedProcesses.0,0.releases.2929,0,P000109/2025/2026/2315000000,planning,"Studio interior design, upgrade and decoration",ocid,ocds-ozzobm-P000109/2025/2026/2315000000
0.releases.2930.relatedProcesses.0,0.releases.2930,0,P000002/2025/2026/1421000000,planning,Provision of Hotel services of 2 and 3 stars  across the country under Framework contract,ocid,ocds-ozzobm-P000002/2025/2026/1421000000
0.releases.2931.relatedProcesses.0,0.releases.2931,0,P000017/2025/2026/0901000000,planning,Supply and installation of advanced Molecular diagnostic equipments,ocid,ocds-ozzobm-P000017/2025/2026/0901000000
0.releases.2932.relatedProcesses.0,0.releases.2932,0,P000001/2025/2026/6500003002,planning,WORKFORCE FOR  INFRASTRUCTURE MAINTENANCE AND REHABILITATION WORKS,ocid,ocds-ozzobm-P000001/2025/2026/6500003002
0.releases.2933.relatedProcesses.0,0.releases.2933,0,P000002/2025/2026/1420000000,planning,SUPERVISION SERVICES FOR REHABILITATION AND EXPANSION OF CYANIKA IN NYAMAGABE DISTRICT AND MUHORORO TVET SCHOOLS IN KARONGI DISTRICT.,ocid,ocds-ozzobm-P000002/2025/2026/1420000000
0.releases.2934.relatedProcesses.0,0.releases.2934,0,P000013/2025/2026/1302000000,planning,Provision of Decoration Services under Framework Contract,ocid,ocds-ozzobm-P000013/2025/2026/1302000000
0.releases.2935.relatedProcesses.0,0.releases.2935,0,P000026/2025/2026/5600000000,planning,Tender for Draining warks of public latrines in Rubavu District,ocid,ocds-ozzobm-P000026/2025/2026/5600000000
0.releases.2936.relatedProcesses.0,0.releases.2936,0,P000040/2025/2026/5300003001,planning,Tender for insurance of vehicle,ocid,ocds-ozzobm-P000040/2025/2026/5300003001
0.releases.2937.relatedProcesses.0,0.releases.2937,0,P000071/2025/2026/6500000000,planning,FEASIBILITY STUDY FOR REHABILITATION OF KARAMBI-MUYONGWE SECTOR ROAD OFFICE(3KM),ocid,ocds-ozzobm-P000071/2025/2026/6500000000
0.releases.2938.relatedProcesses.0,0.releases.2938,0,P000071/2025/2026/6500000000,planning,FEASIBILITY STUDY FOR REHABILITATION OF KARAMBI-MUYONGWE SECTOR ROAD OFFICE(3KM),ocid,ocds-ozzobm-P000071/2025/2026/6500000000
0.releases.2939.relatedProcesses.0,0.releases.2939,0,P000091/2025/2026/0901000000,planning,Supply of  Foot and Mouth Disease (FMD)  vaccines,ocid,ocds-ozzobm-P000091/2025/2026/0901000000
0.releases.2940.relatedProcesses.0,0.releases.2940,0,P000020/2022/2023/6400003002,planning,Supply Medical oxygen,ocid,ocds-ozzobm-P000020/2022/2023/6400003002
0.releases.2941.relatedProcesses.0,0.releases.2941,0,P000090/2025/2026/0901000000,planning,"Supply of Vaccines (LSD, BQ, Brucellosis, Rabies, and other)",ocid,ocds-ozzobm-P000090/2025/2026/0901000000
0.releases.2942.relatedProcesses.0,0.releases.2942,0,P000062/2025/2026/7000000000,planning,"Provision of Online, Radio and TV broadcasting services",ocid,ocds-ozzobm-P000062/2025/2026/7000000000
0.releases.2943.relatedProcesses.0,0.releases.2943,0,P000011/2025/2026/0901001015,planning,Hiring a Consultancy firm for supervision of irrigation rehabilitation works for Kamiranzovu marshland (140ha),ocid,ocds-ozzobm-P000011/2025/2026/0901001015
0.releases.2944.relatedProcesses.0,0.releases.2944,0,P000069/2025/2026/5600000000,planning,"Acquisition of Office equipment,furniture and fittings",ocid,ocds-ozzobm-P000069/2025/2026/5600000000
0.releases.2945.relatedProcesses.0,0.releases.2945,0,P000074/2025/2026/5600000000,planning,Tender of Supply of Materials for   houses  of  Genocide Survivors,ocid,ocds-ozzobm-P000074/2025/2026/5600000000
0.releases.2946.relatedProcesses.0,0.releases.2946,0,P000049/2025/2026/5600000000,planning,"Tender for Supply and installation of acoustic Solution,security checking equipment, outdoor display screen, remoted curtains, projectors and HVAC Systems in Rubavu District Hall",ocid,ocds-ozzobm-P000049/2025/2026/5600000000
0.releases.2947.relatedProcesses.0,0.releases.2947,0,P000012/2025/2026/0901001014,planning,Refreshment service (different meetings& workshops),ocid,ocds-ozzobm-P000012/2025/2026/0901001014
0.releases.2948.relatedProcesses.0,0.releases.2948,0,P000039/2025/2026/5100000000,planning,Supply of asset transfer (ToolKits) under Framework contract.,ocid,ocds-ozzobm-P000039/2025/2026/5100000000
0.releases.2949.relatedProcesses.0,0.releases.2949,0,P000010/2025/2026/2500000000,planning,Provision of staff refreshments,ocid,ocds-ozzobm-P000010/2025/2026/2500000000
0.releases.2950.relatedProcesses.0,0.releases.2950,0,P000087/2024/2025/4700000000,planning,Travaux de construction et de renovation du stade de Mutunda (Byiza) et son auditorium  dans le district de Huye,ocid,ocds-ozzobm-P000087/2024/2025/4700000000
0.releases.2951.relatedProcesses.0,0.releases.2951,0,P000028/2025/2026/6300000000,planning,Service of property valuation in Musanze District,ocid,ocds-ozzobm-P000028/2025/2026/6300000000
0.releases.2952.relatedProcesses.0,0.releases.2952,0,P000032/2025/2026/0901001016,planning,"Preparation of Environmental and Social Safeguards Instruments (RAP, ESIA, ESA)",ocid,ocds-ozzobm-P000032/2025/2026/0901001016
0.releases.2953.relatedProcesses.0,0.releases.2953,0,P000010/2025/2026/2500000000,planning,Provision of staff refreshments,ocid,ocds-ozzobm-P000010/2025/2026/2500000000
0.releases.2954.relatedProcesses.0,0.releases.2954,0,P000003/2025/2026/6000000000,planning,Supervision for construction works of Gahabwa center-Bikono-Muramba chip seal road (3.743km),ocid,ocds-ozzobm-P000003/2025/2026/6000000000
0.releases.2955.relatedProcesses.0,0.releases.2955,0,P000082/2025/2026/2318000000,planning,Contract management for NRS Construction works,ocid,ocds-ozzobm-P000082/2025/2026/2318000000
0.releases.2956.relatedProcesses.0,0.releases.2956,0,P000026/2025/2026/5900003002,planning,To construct Genocide against Tutsi Monument,ocid,ocds-ozzobm-P000026/2025/2026/5900003002
0.releases.2957.relatedProcesses.0,0.releases.2957,0,P000034/2025/2026/1420000000,planning,Annual subscription to digital library,ocid,ocds-ozzobm-P000034/2025/2026/1420000000
0.releases.2958.relatedProcesses.0,0.releases.2958,0,P000004/2025/2026/6400000000,planning,Consultancy services for supervision of Construction of Gitanda health center,ocid,ocds-ozzobm-P000004/2025/2026/6400000000
0.releases.2959.relatedProcesses.0,0.releases.2959,0,P000004/2025/2026/6400000000,planning,Consultancy services for supervision of Construction of Gitanda health center,ocid,ocds-ozzobm-P000004/2025/2026/6400000000
0.releases.2960.relatedProcesses.0,0.releases.2960,0,P000004/2024/2025/0300000000,planning,Provision of Hotel Services to the Chamber of Deputies,ocid,ocds-ozzobm-P000004/2024/2025/0300000000
0.releases.2961.relatedProcesses.0,0.releases.2961,0,P000043/2025/2026/1420000000,planning,SUPPLY AND INSTALLATION  OF DRAINAGE CHANNEL COVERS  ON PLAYGROUND FACILITIES FOR 4 TVET SCHOOLS ON BORDERS IN NYAGATARE AND GICUMBI DISTRICT,ocid,ocds-ozzobm-P000043/2025/2026/1420000000
0.releases.2962.relatedProcesses.0,0.releases.2962,0,P000026/2025/2026/5900003002,planning,To construct Genocide against Tutsi Monument,ocid,ocds-ozzobm-P000026/2025/2026/5900003002
0.releases.2963.relatedProcesses.0,0.releases.2963,0,P000017/2025/2026/0901000000,planning,Supply and installation of advanced Molecular diagnostic equipments,ocid,ocds-ozzobm-P000017/2025/2026/0901000000
0.releases.2964.relatedProcesses.0,0.releases.2964,0,P000096/2025/2026/0901000000,planning,Insurance for new exotic bulls,ocid,ocds-ozzobm-P000096/2025/2026/0901000000
0.releases.2965.relatedProcesses.0,0.releases.2965,0,P000033/2025/2026/6400000000,planning,Purchase and supply of Food Supplies for Civic engagement through national service (Urugerero) in Rulindo District,ocid,ocds-ozzobm-P000033/2025/2026/6400000000
0.releases.2966.relatedProcesses.0,0.releases.2966,0,P000051/2025/2026/4000000000,planning,HIRING A SERVICE PROVIDER FOR PROPERTY VALUATION,ocid,ocds-ozzobm-P000051/2025/2026/4000000000
0.releases.2967.relatedProcesses.0,0.releases.2967,0,P000051/2025/2026/4000000000,planning,HIRING A SERVICE PROVIDER FOR PROPERTY VALUATION,ocid,ocds-ozzobm-P000051/2025/2026/4000000000
0.releases.2968.relatedProcesses.0,0.releases.2968,0,P000009/2025/2026/1005000000,planning,EVENT MANAGEMENT,ocid,ocds-ozzobm-P000009/2025/2026/1005000000
0.releases.2969.relatedProcesses.0,0.releases.2969,0,P000003/2025/2026/6800003001,planning,acquisition of stationaries,ocid,ocds-ozzobm-P000003/2025/2026/6800003001
0.releases.2970.relatedProcesses.0,0.releases.2970,0,P000052/2024/2025/1305000000,planning,Acquisition of DNA reagents and consumables,ocid,ocds-ozzobm-P000052/2024/2025/1305000000
0.releases.2971.relatedProcesses.0,0.releases.2971,0,P000004/2024/2025/0300000000,planning,Provision of Hotel Services to the Chamber of Deputies,ocid,ocds-ozzobm-P000004/2024/2025/0300000000
0.releases.2972.relatedProcesses.0,0.releases.2972,0,P000022/2025/2026/2313000000,planning,"Provision of hotel services (hiring of conference halls, workshops, trainings, accommodations, restaurants and receptions outside of Kigali (framework contract)",ocid,ocds-ozzobm-P000022/2025/2026/2313000000
0.releases.2973.relatedProcesses.0,0.releases.2973,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2974.relatedProcesses.0,0.releases.2974,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2975.relatedProcesses.0,0.releases.2975,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
0.releases.2976.relatedProcesses.0,0.releases.2976,0,P000068/2025/2026/7000000000,planning,Maintenance of smart waste system,ocid,ocds-ozzobm-P000068/2025/2026/7000000000
0.releases.2977.relatedProcesses.0,0.releases.2977,0,P000061/2025/2026/0400000000,planning,Branding for NUC(print production and installation),ocid,ocds-ozzobm-P000061/2025/2026/0400000000
